Filename,class,contrast,dissimilarity,homogeneity,energy,correlation,ASM
Cutting_Marks_285.JPG,1,4.051186372745492,0.9239639278557116,0.7233885144200692,0.06660781119091465,0.9994466400691718,0.004436600511644534
Cutting_Marks_286.JPG,1,99.78824448897794,4.078016032064127,0.6357725444886908,0.19137596647209998,0.9860170888116062,0.03662476054313033
Cutting_Marks_291.jpg,1,74.60186372745491,4.108909819639279,0.3782544311497581,0.04424506953557786,0.9911835450632256,0.0019576261782081198
Cutting_Marks_293.jpg,1,83.09657715430862,4.136961923847695,0.45366459106070056,0.060970431526338645,0.9887900388782705,0.0037173935205079495
Cutting_Marks_294.jpg,1,80.81802404809619,5.539266533066133,0.2594186625510483,0.02461475723116322,0.987718307465755,0.0006058862735491021
Cutting_Marks_297.jpg,1,54.137470941883755,3.415539078156313,0.4428457767422972,0.05068550021107478,0.9934328508345452,0.0025690199316468613
Cutting_Marks_307.jpg,1,21.68454509018036,1.9550380761523045,0.5659728884449022,0.061080456164082045,0.9975905052754087,0.0037308221252123483
Cutting_Marks_308.jpg,1,10.893775551102205,1.495779559118237,0.6063398722347644,0.07804520111740476,0.9988084058083418,0.006091053417456157
Cutting_Marks_309.jpg,1,12.494585170340681,1.612332665330661,0.6037012607966633,0.08387283105122323,0.9986268683922204,0.007034651788547035
Cutting_Marks_314.jpg,1,66.25062124248498,3.881715430861724,0.4152489613811044,0.049482704189479775,0.9931829762958406,0.002448538013903559
Cutting_Marks_317.jpg,1,55.4513146292585,3.4402204408817627,0.46873368175633495,0.062379785134475396,0.9944415920388261,0.003891237593423318
Cutting_Marks_322.jpg,1,68.92343086172346,4.064785571142285,0.4027991159860703,0.046360658638926425,0.9917641083255606,0.002149310669435063
Cutting_Marks_324.jpg,1,50.5010501002004,3.401691382765531,0.5629638141720514,0.08201548574169502,0.9949417859625888,0.006726539901446179
Cutting_Marks_327.jpg,1,77.44463326653307,5.48868136272545,0.22623939504950966,0.028675137471019938,0.982301816296504,0.0008222635089818917
